Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Aroldis Chapman","NYY",26,76,4.26315789,11,2,0,11,9,1,8,0,1,29,0.171875,0.26666667,0.25,0.2342839280764262,10233
"Total","Ryan Tepera","TOR",6,13,8.10000001,2,1,0,3,3,0,2,2,0,2,0.25,0.33333333,0.375,0.20862714648246766,10291
"Total","Juan Minaya","CHW",1,3,54.00000054,2,0,0,2,2,0,0,0,0,0,0.66666667,0.66666667,0.66666667,0.579738179842631,10341
"Total","Aaron Loup","SDP",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10343
"Total","Robbie Erlin","SDP",8,10,11.57142859,3,0,0,3,3,1,1,0,0,2,0.33333333,0.4,0.66666667,0.436904513835907,10354
"Total","Mychal Givens","BAL",29,90,8.30769231,20,1,1,22,20,9,8,1,0,29,0.25,0.31111111,0.625,0.36921383624666193,10430
"Total","Jimmy Nelson","MIL",1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10547
"Total","Chad Bettis","COL",11,19,27.00000003,7,2,0,10,10,2,1,1,1,3,0.4375,0.5,0.9375,0.5670846069560331,10587
"Total","Scott Alexander","LAD",12,14,23.62499997,7,1,1,7,7,2,1,1,0,0,0.53846154,0.57142857,1.23076923,0.7102748935039227,10591
"Total","Trevor Rosenthal","2 Tms",9,16,27,3,0,0,9,9,0,3,0,1,4,0.27272727,0.46666667,0.27272727,0.3599280834197998,10745
"Total","Shane Greene","2 Tms",30,82,4.11864407,20,1,0,15,9,5,6,1,1,20,0.2739726,0.33333333,0.49315068,0.34074418619275093,10756
"Total","R.J. Alaniz","2 Tms",3,5,27.00000007,2,0,0,4,4,1,0,0,0,0,0.4,0.4,1,0.5618286728858948,10819
"Total","Adam Kolarek","2 Tms",21,38,5,8,0,0,5,5,0,6,2,1,7,0.25806452,0.39473684,0.25806452,0.28992366956339943,10843
"Total","Chasen Shreve","STL",1,2,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.3596079647541046,10855
"Total","Josh A. Smith","BOS",2,7,18,2,1,0,2,2,1,1,1,1,1,0.4,0.57142857,1.2,0.6459027032057444,10946
