"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Ashton Goudeau","COL","7.08","4.43","1.60","1.33","17.0%","10.6%","6.4%",".298","1.72",".338","55.2%","149","116","125","7.08","4.94","2.15","5.07","4.70","15139"
"Jake Bird","COL","5.79","0.96","6.00","1.93","18.8%","3.1%","15.6%",".097","0.43",".043","100.0%","41","116","78","1.93","4.94","-3.01","3.11","2.99","21267"
"Zack Littell","SFG","7.76","0.93","8.33","2.17","20.8%","2.5%","18.3%",".267","1.17",".286","75.4%","123","128","91","4.97","4.94","0.02","3.66","3.22","15823"
"Genesis Cabrera","STL","7.39","3.41","2.17","1.42","20.2%","9.3%","10.9%",".184","1.04",".193","93.1%","57","126","107","2.27","4.95","-2.67","4.31","3.97","17490"
"Jordan Hicks","STL","8.60","5.93","1.45","0.89","21.8%","15.0%","6.8%",".204","1.38",".250","72.4%","119","126","115","4.75","4.96","-0.21","4.66","4.73","19618"
"Art Warren","CIN","9.42","4.71","2.00","1.57","24.2%","12.1%","12.1%",".241","1.43",".288","57.1%","157","118","109","6.91","4.96","1.94","4.41","4.01","18251"
"Caleb Kilian","CHC","7.15","9.53","0.75","0.00","16.1%","21.4%","-5.4%",".256","2.03",".324","37.5%","244","123","167","10.32","4.97","5.35","6.81","6.85","26213"
"German Marquez","COL","7.50","3.43","2.19","1.61","18.7%","8.5%","10.1%",".284","1.54",".320","63.6%","124","117","103","5.89","4.98","0.91","4.16","4.36","15038"
"T.J. McFarland","STL","5.40","2.70","2.00","1.35","13.2%","6.6%","6.6%",".351","1.76",".385","62.2%","186","127","107","7.43","4.99","2.43","4.33","4.13","3237"
"Josiah Gray","WSN","9.78","3.89","2.51","1.78","25.4%","10.1%","15.3%",".222","1.27",".257","80.6%","99","122","108","4.22","4.99","-0.77","4.36","4.11","24580"
"Chase De Jong","PIT","7.47","2.87","2.60","1.72","21.0%","8.1%","12.9%",".186","0.99",".185","93.2%","56","124","115","2.30","5.00","-2.70","4.65","4.12","15036"
"J.B. Wendelken","ARI","6.52","4.34","1.50","1.24","17.2%","11.5%","5.7%",".234","1.34",".256","64.0%","124","126","113","5.28","5.01","0.26","4.56","4.62","14506"
"Chasen Shreve","NYM","9.91","3.42","2.90","2.05","25.4%","8.8%","16.7%",".260","1.41",".304","62.9%","166","127","92","6.49","5.01","1.48","3.70","3.41","10855"
"Jake Diekman","BOS","12.07","6.99","1.73","1.27","30.4%","17.6%","12.8%",".182","1.41",".246","83.3%","71","128","116","2.86","5.02","-2.16","4.61","4.14","5003"
"Emilio Pagan","MIN","12.15","5.06","2.40","2.03","30.5%","12.7%","17.8%",".214","1.39",".262","66.4%","132","127","83","5.06","5.03","0.03","3.33","3.32","14771"
"Carlos Estevez","COL","7.62","4.50","1.69","1.38","19.3%","11.4%","7.9%",".250","1.46",".284","62.9%","109","118","119","5.19","5.04","0.15","4.82","4.52","14542"
"Spenser Watkins","BAL","5.05","3.73","1.35","1.10","12.6%","9.3%","3.3%",".272","1.49",".291","68.4%","118","120","140","4.61","5.04","-0.43","5.53","5.47","17489"
"Josh Sborz","TEX","13.06","6.97","1.88","1.74","30.0%","16.0%","14.0%",".286","1.94",".400","58.1%","229","128","107","8.71","5.05","3.66","4.27","3.99","18323"
"Anthony Gose","CLE","12.00","6.00","2.00","1.71","30.4%","15.2%","15.2%",".195","1.38",".244","69.7%","123","129","110","4.71","5.07","-0.35","4.37","3.84","5097"
"Stephen Nogosek","NYM","5.68","3.55","1.60","1.42","15.4%","9.6%","5.8%",".213","1.18",".216","82.0%","18","129","127","0.71","5.09","-4.38","5.16","4.77","19545"
"Roansy Contreras","PIT","8.80","4.30","2.05","1.64","22.1%","10.8%","11.3%",".250","1.45",".289","78.5%","99","126","113","4.09","5.09","-1.00","4.56","4.39","22810"
"Jonathan Loaisiga","NYY","9.72","5.40","1.80","1.62","24.7%","13.7%","11.0%",".254","1.56",".310","59.6%","184","127","98","7.02","5.10","1.92","3.92","4.02","19753"
"Hunter Strickland","CIN","8.78","6.08","1.44","1.01","20.2%","14.0%","6.2%",".262","1.73",".321","67.7%","123","121","134","5.40","5.10","0.30","5.43","4.77","7836"
"Michael Kelly","PHI","4.50","4.50","1.00","0.00","12.5%","12.5%","0.0%",".000","0.50",".000","100.0%","0","123","179","0.00","5.12","-5.12","7.35","6.11","12791"
"Francisco Morales","PHI","9.00","12.00","0.75","0.00","27.3%","36.4%","-9.1%",".000","1.33",".000","75.0%","0","123","138","0.00","5.12","-5.12","5.61","8.42","22913"
"Jandel Gustave","MIL","9.53","2.65","3.60","2.12","24.3%","6.8%","17.6%",".235","1.24",".261","79.3%","113","126","99","4.76","5.12","-0.35","3.99","3.34","14665"
"Phil Maton","HOU","9.00","3.09","2.91","1.69","22.7%","7.8%","14.9%",".242","1.28",".279","85.5%","98","131","109","3.66","5.15","-1.49","4.34","3.66","18064"
"Kutter Crawford","BOS","10.98","5.49","2.00","1.83","25.8%","12.9%","12.9%",".272","1.73",".340","66.9%","160","132","117","6.41","5.15","1.26","4.63","4.17","20531"
"Edward Cabrera","MIA","8.62","5.17","1.67","1.15","21.7%","13.0%","8.7%",".175","1.21",".200","83.3%","86","131","122","3.45","5.16","-1.71","4.93","4.68","21690"
