"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"64",445926,"Chavez, Jesse","516","12.4","0.308","0.538","0.286","0.846","0.522","0.565","0.372","4","13","96.8","5.0","2131","89.1","89.37","9","29","35","0.3","6.18","111","157","117","152","304","325","302"
"64",670912,"Oviedo, Johan","300","21.3","0.214","0.071","0.300","0.286","0.248","0.207","0.186","3","14","81.9","5.7","2341","88.5","89.73","6","28","36","1.2","7.01","112","152","113","151","307","329","296"
"63",667376,"Sánchez, Miguel","211","29.9","0.154","0.000","0.154","0.154","0.164","0.277","0.285","2","13","79.8","-0.2","1796","89.8","89.62","9","33","30","-0.2","6.14","112","147","111","142","290","315","294"
"63",606930,"Barnes, Jacob","336","18.8","0.263","0.105","0.278","0.368","0.273","0.389","0.312","5","19","91.8","7.8","2307","90.8","91.59","6","34","29","0.8","6.70","112","158","117","151","306","328","298"
"63",680739,"Winder, Josh","554","11.4","0.333","0.556","0.286","0.889","0.527","0.644","0.376","3","9","94.6","24.6","1908","88.9","87.97","4","20","43","-0.9","5.75","110","148","112","146","296","319","287"
"63",641401,"Brogdon, Connor","285","22.1","0.313","0.000","0.333","0.313","0.277","0.299","0.252","5","16","83.9","11.5","2156","88.3","89.39","8","36","27","1.1","7.01","100","149","122","143","293","326","297"
"62",657240,"Merryweather, Julian","286","21.7","0.444","0.444","0.500","0.889","0.575","0.483","0.371","8","18","93.9","16.9","2079","92.1","92.47","8","42","20","0.4","6.62","110","172","121","150","297","323","302"
"61",606303,"Payamps, Joel","454","13.4","0.462","0.077","0.667","0.538","0.456","0.194","0.158","6","13","83.8","-2.1","2474","89.1","88.42","7","31","30","-0.7","5.93","110","150","116","147","302","321","297"
"61",656605,"Keller, Mitch","1238","4.9","0.273","0.091","0.429","0.364","0.367","0.380","0.229","3","11","87.6","5.7","2231","91.2","91.24","7","20","41","0.0","6.37","108","155","117","152","296","321","300"
"60",543238,"Gose, Anthony","362","16.6","0.133","0.200","0.143","0.333","0.197","0.307","0.194","2","15","92.9","22.1","2291","93.1","92.79","15","34","26","-0.3","6.06","113","149","111","146","281","307","287"
"60",664054,"Stashak, Cody","227","26.4","0.188","0.000","0.231","0.188","0.166","0.241","0.238","3","16","82.7","34.0","2182","86.4","85.69","7","30","30","-0.7","5.88","107","161","111","151","304","335","292"
"60",595881,"Beede, Tyler","479","12.5","0.267","0.133","0.400","0.400","0.334","0.269","0.215","4","15","85.0","7.1","1967","89.3","89.58","6","24","36","0.3","6.53","101","146","105","147","295","326","301"
"59",621366,"Borucki, Ryan","226","26.1","0.308","0.462","0.250","0.769","0.486","0.536","0.402","4","13","93.0","2.1","2237","91.2","91.61","3","23","36","0.4","6.63","102","151","118","147","295","317","291"
